Snr	strata	Brnr	branch.base.diamter.fresh.1	branch.base.diamter.fresh.2	branch.base.diamter.dry.1	branch.base.diamter.dry.2	br.dw.g	db.dw.g	cones 	c0	c1	c2	c3	remaining	base.dw.g	scan.c0	scan.c1	scan.c2	scan.c3	rm.c0	rm.c1	rm.c2	rm.c3
1	0	0						163.5															
1	1	1	1.4	1.3	1.25	1.35	108.96			12.629	8.449	1.613		0.585	5.3	0.3	0.45	0.38		1	1.1	0.8	
1	1	2	1.4	1.5	1.3	1.3	68.13	24.621		2.566	1.339			0.814	6.1	0.29	0.47			0.6	0.6		
1	2	3	1.7	1.7	1.6	1.6	138.56	13.76		25.18	11.81			1.687	5.7	0.53	0.42	0.48		1.2	1.2	0.7	
1	2	4	1.35	1.5	1.5	1.4	84.57	19.521		12.616	5.845	1.233		0.478	2.1	0.4	0.61	0.41		1	0.8	0.8	
1	3	5	1.2	1.25	1.1	1.1	58.38		1.732	12.995	3.849	0.474		0.307	4.1	0.54	0.52	0.7		1.1	1.2	0.7	
1	3	6	1.5	1.55	1.5	1.3	116.34		1.784	18.137	8.794	4.336		0.378	5.4	0.46	0.46	0.42		1.4	1.2	1	
1	4	7	2.3	2.5	2.3	2.2	280		9.092	42.2	17.662			0.971	11.4	0.57	0.81	0.61		1.5	1.4	0.6	
1	4	8	1.55	1.6	1.4	1.5	106.59		18.679	20.144	7.24			0.67	5.2	0.57	0.58	0.73		1.3	1.2	0.8	
1	5	9	0.9	0.9	0.8	0.8	20.312			8.643	8.801			0.288	2.3	0.7	0.89	0.47		1.4	1.8	0	
1	5	10	1	1	1.1	1.2	31.666		2.451	17.573	17.98			0.753	3	0.83	1.26			1.5	2.7		
2	0	0						254															
2	1	1	1.1	1.35	1.1	1.2	76.26			3.213	1.678			0.576	3.2	0.5	0.56	0.5		0	0	0	
2	1	2	1.3	1.4	1.5	1.4	144.59			4.008	1.83			0.699	5	0.25	0.33	0.66			0.5	0	
2	2	3	1.65	1.5	1.4	1.6	144.37			22.72	17.084	3.583		1.249	4.4	0.57	0.33	0.59		0.9	1	1.1	
2	2	4	1.7	1.4	1.4	1.6	157.22			24.703	17.464	6.642		1.361	6	0.41	0.4	0.81	0.38	1	1.5	1.4	0
2	3	5	1.85	1.9	1.5	1.6	239.5		4.147	65.39	43.71	12.415		3.181	7.5	0.52	0.62	0.85		1.2	1.2	2	
2	3	6	1.8	1.85	1.7	1.6	163.63			45.45	36.183	11.598		1.091	6.4	0.54	0.39	0.57	0.34	1.3	1.2	1.6	0
2	4	7	1.8	2	1.7	1.8	164.1			41.42	36.595	6.509		1.571	8.8	0.55	0.66	0.8		2	2.1	2.6	
2	4	8	1.9	1.9	1.6	1.8	139.84		5.01	37.982	54.62	1.803		1.25	8.4	0.68	0.6	0.68		0.9	1.5	1.2	
2	5	9	1.05	1.15	0.9	0.9	23.309			11.522	9.26			0.148	2.4	0.67	0.61	0.6		1.5	1.5	0.7	
2	5	10	1	1.05	0.9	0.9	25.614		1.992	15.909	11.606	0.672		1.032	2.3	0.65	0.68	0.73		1.2	1.4	0.7	
3	0	0						196															
3	1	1	4.3	4.15	4.1	3.9	1456.5	126.7		68.92	50.44	47.08	2.627	2.5	31.6	0.58	0.41	0.45	0.44	1	1.3	1.4	0.7
3	1	2	3.9	4.05	3.8	3.7	1328.5	12.723		50.64	31.386	28.13	1.242	2.069	27.2	0.52	0.42	0.64	0.38	1.2	1.3	0.9	0.8
3	2	3	2.4	2.6	2.4	2.3	424.5			30.77	20.713	15.814	1.635	0.958	8.3	0.43	0.47	0.38	0.38	0.9	0.5	0.9	0
3	2	4	2.7	3	2.6	2.9	606			24.458	14.785	12.159	1.433	0.333	10.9	0.43	0.42	0.63	0.5	0.9	1	0.9	0.8
3	3	5	2.6	2.55	2.4	2.4	245			8.225	5.499	5.298		0.159	11.8	0.44	0.45	0.52	0.43	0.9	1.2	1.1	0.6
3	3	6	2.2	2.1	2	2	287.5			45.02	29.324	19.555	0.726	0	9	0.46	0.65	0.48	0.43	1.3	1.2	1.4	0.7
3	4	7	1.45	1.55	1.3	1.4	91.82			27.885	19.738	11.898		0.74	5.7	0.62	0.57	0.74		0.9	1.2	1.2	
3	4	8	1.5	1.4	1.3	1.3	78.36			13.5	9.411	5.353	0.192	0.134	3.3	0.54	0.49	0.54	0.53	1.5	1.4	1.3	0.7
3	5	9	1.2	1.25	2	1.9	164.62		8.646	37.71	27.708	11.187	4.833	1.66	9.5	0.71	0.74	0.73	0.95	2.1	1.6	1.7	2.4
3	5	10	1.25	1.2	1	1	34.383			18.965	10.619	0.508		2.544	2.4	0.8	0.75	0.83	0.22	1.7	1.9	1.1	0
4	0	0						251.5															
4	1	1	1.9	1.8	1.6	1.7	156.34			13.676	8.53	3.879		0.863	6.3	0.47	0.52	0.51		0.8	1	1.1	
4	1	2	1.25	1.35	1.2	1.3	89.68			15.892	4.69	1.172		0.555	3.2	0.45	0.43	0.38		1.3	0.9	0.8	
4	2	3	2	2.1	1.8	2	219.5			41.4	18.6	12.42		0.425	7.8	0.54	0.56	0.53		1.2	1.2	1.3	
4	2	4	2	2.1	1.8	1.9	224.23			35.547	20.094	17.801		0.697	7.1	0.76	0.48	0.47		1.3	1.3	1.6	
4	3	5	2.5	2.6	2.3	2.4	376		2.976	65.22	32.261	14.534	1.531	0.924	11.8	0.69	0.79	0.59	0.74	1.9	1.4	1.3	1
4	3	6	2.65	2.8	2.5	2.5	431.5			72.46	41.08	19.202		0.689	17.3	0.61	0.82	0.49		1.5	1.8	1.6	
4	4	7	3	3.1	2.7	2.8	487.5		21.425	137	76.23	24.069		2.669	19.6	0.96	0.92	0.8	0.66	3.2	2.5	2.1	0
4	4	8	3.7	3.75	3.4	3.6	851.5		101.09	222.05	150	56.94	1.421	5.461	27.9	1.05	1.09	1.16	0.67	2.1	2.5	1.7	1.3
4	5	9	0.8	0.8	0.7	0.8	11.649		7.752	11.968	3.539				1.3	1.24	1.48			2.9	2		
4	5	10	0.6	0.6	0.5	0.5	4.59		8.768	4.304	3.936				0.8	0.77	0.8	0.42		1.2	1	0	
5	0	0						297															
5	1	1	3.55	3.5	3.2	3.1	1144.5		20.662	107.42	85.05	57.77	2.227	3.38	25.3	0.72	0.53	0.51		2	2.1	1.5	
5	1	2	3.8	3.8	3.5	3.4	920		9.371	42.04	41.56	23.259		4.002	31.6	0.81	0.74	0.83	0.72	3	2.5	2.1	2
5	2	3	1.9	2	1.8	1.8	233			9.233	7.76	4.949		1.112	6.8	0.76	0.63	0.71	0.76	2.1	1.3	1.5	0.9
5	2	4	1.8	1.8	1.6	1.6	159.5		15.548	12.601	9.211	7.256		1.141	3.2	0.69	0.58	0.59	1.33	1.4	1.4	1.9	0
5	3	5	1.75	1.8	1.6	1.6	148.1		2.81	26.214	26.15	18.183	2.4	3.488	6.5	0.88	0.95	0.76	0.89	1.8	2.1	1.7	1.7
5	3	6	2.75	2.8	2.5	2.6	395.5		18.046	62.82	43.17	34.259	4.819	5.448	18.4	1.19	0.88	0.82	0.97	2.5	2.2	2.3	2.4
5	4	7	2.1	2.1	1.9	2	167.88		11.254	45.11	31.949	30.253		9.488	9.4	1.13	1.27	1.48	1.31	3.8	3.5	3.5	2.4
5	4	8	1.9	2.05	1.8	1.9	152.26		26.271	55.95	33.026	27.167	6.891	6.683	11.2	1.1	0.97	1	1.14	3.4	3.1	3.7	2.9
5	5	9	1.1	1	1	0.9	20.977		0.821	10.518	7.702	3.167		3.8	2.7	1.31	1.28	1.25		3.5	2.9	3.7	
5	5	10	1	1	0.9	0.9	22.484			15.651	6.352	4.929		1.05	1.8	0.98	1.23	1.15		3.7	3.4	3.8	
6	0	0						199.5															
6	1	1	1.9	1.8	1.7	1.7	186.25			24.038	19.334	7.822		1.199	8.7	0.54	0.48	0.85	0.58	1.6	1.2	1.1	0
6	1	2	1.3	1.2	1.1	1.2	78.81			13.164	12.967	5.512		0.953	3.2	0.4	0.38	0.39	0.38	1.9	1.5	1.5	0.4
6	2	3	0.9	0.85	0.8	0.8	27.372			2.99	4.886	1.912		0.2	2.8	0.42	0.54	0.45		1.3	1	1.5	
6	2	4	0.8	0.85	0.8	0.7	18.46			1.591	0.415				2.6	0.33	0.4	0.41		0.7	0.9	0.5	
6	3	5	1.7	1.7	1.5	1.6	113.02			32.49	22.149	8.177		1.25	7.1	0.79	0.53	0.45	0.64	2.3	1.3	1.9	0
6	3	6	1.8	1.8	1.5	1.6	125.79			51.28	37.453	13.926		0.405	6.5	0.51	0.58	0.9	0.52	1.5	1.8	1.9	0.4
6	4	7	1.5	1.6	1.4	1.4	66.43		2.683	25.832	26.91	0.742		3.004	5.1	0.69	0.76	1.01		2.3	1.9	1.9	
6	4	8	1.3	1.25	1.1	1.1	41.77		3.99	26.438	23.833	1.459		4.003	4	0.62	0.74	1.13		1.9	2.7	2.1	
6	5	9	0.6	0.65	0.6	0.6	6.913			7.023	3.001				0.9	1.06	1.26			2.6	3.2		
6	5	10	0.8	0.9	0.7	0.7	11.987			16.61	1.509				1.8	1.26	1.43			4	3.2		
7	0	0						353.5															
7	1	1	2.25	2.25	1.9	2	291			25.925	24.668	10.583		1.265	10.4	0.408	0.414	0.411	0.488	0.9	1	1	0
7	1	2	2.15	2.4	1.9	2.2	372			35.195	35.543	18.063	1.45	1.995	14.3	0.353	0.366	0.459	0.304	1.2	1.8	1.8	0.8
7	2	3	2.3	2.2	1.9	2	303			34.069	32.684	20.686	0.783	0.136	8.1	0.329	0.383	0.466	0.391	1.4	1.4	1.9	0.8
7	2	4	2.15	2.1	1.9	1.9	260			21.506	23.477	15.764	0.836	1.493	9.4	0.365	0.316	0.309	0.276	1.7	1.5	1.7	0.7
7	3	5	2	1.9	1.8	1.7	173.59			42.99	40.18	29.874		0.398	9.8	0.563	0.456	0.53	0.351	1.8	1.8	1.7	0.7
7	3	6	2.05	2.1	1.8	1.7	180.72			42.68	39.473	26.463		1.053	7.7	0.418	0.378	0.453	0.321	2.1	2.1	1.7	0.7
7	4	7	1.9	1.9	1.8	1.7	129.8		2.317	41.67	29.893	20.029		1.037	7.3	0.573	0.53	0.938	0.571	2.6	2.6	2.6	
7	4	8	1.7	1.6	1.4	1.4	83.96		3.101	29.333	21.832	8.76		0.954	6.5	0.619	0.564	0.753		2.9	2.8	2.1	
7	5	9	1.2	1.2	1	0.9	30.184		3.487	12.633	5.796	0.634		5.403	3.7	0.717	0.592	0.954		3.7	2.5	1.7	
7	5	10	0.9	0.95	0.8	0.8	15.736			9.707	1.438	1.434		0.671	3.2	0.74	0.571	1.045		2.3	1.4	2.8	
8	0	0						796.5															
8	1	1	4	4.3	3.5	5	1054.5	145.5		80.87	41.01	25.369		4.04	29.1	0.575	0.507	0.5	0.388	1.6	1.2	1.3	0.3
8	1	2	3.4	3.6	3.1	3.5	736	22.379		23.79	10.742	9.762		2.125	27.4	0.502	0.531	0.436		1.3	1.1	1.3	
8	2	3	2.55	2.5	2.2	2.1	353.5			43.22	21.424	8.858		1.837	9.3	0.471	0.608	0.644	0.174	2.3	1.5	1.4	0
8	2	4	3.1	3	2.8	2.9	447			20.565	10.073	6.462		1.419	14	0.752	0.474	0.574		1.6	1.2	1.2	
8	3	5	3.1	3.25	2.8	2.9	570			69.72	40.01	28.641		0.989	16	0.641	0.421	0.714	0.44	1.5	1.5	1.4	0
8	3	6	3.4	3.55	3.3	3.3	753			133.98	51.94	20.55		3.558	23.4	0.697	0.444	0.646	0.532	3	2.2	1.2	0
8	4	7	1.9	1.95	1.8	1.7	143.53		0.821	36.202	18.721	13.287		2.21	6.2	0.939	0.834	0.799		3.4	2.1	1.8	
8	4	8	2.5	2.45	2.2	2.3	279.5		3.051	47.6	30.92	12.077		3.302	8.9	0.726	0.803	0.691	0.348	2.8	1.3	1.3	0
8	5	9	1.1	1.2	1.1	1.1	25.117		5.919	13.108	8.204	2.501		0.504	2.2	0.895	0.616	0.693		2.2	1.9	1.5	
8	5	10	1.1	1.15	1.1	1	30.959		9.276	21.283	10.978	4.077		0.413	2.5	0.965	1.054	1.02	0.504	2.6	1.5	2	0
9	0	0						253															
9	1	1	1.4	1.5	1.2	1.4	85.3			7.651	6.53	1.654		0.171	5.2	0.429	0.364	0.422	0.176	1.4	1	1	0
9	1	2	1.35	1.4	1.2	1.3	94.6			7.649	6.359	2.201		0.293	5.8	0.49	0.391	0.617		1.4	0.9	0.7	
9	2	3	1	1.05	0.9	0.9	42.22			8.455	4.33	3.147			2.5	0.558	0.487	0.513		1.6	1	1.1	
9	2	4	0.85	0.9	0.8	0.9	44.44			5.738	4.712	2.054		0.337	2.7	0.365	0.372	0.498		1	1.1	1.2	
9	3	5	1.2	1.05	0.9	1	41.45			9.705	6.882	3.602			2.3	0.489	0.428	0.437	0.252	1.6	1.2	1	0
9	3	6	1.3	1.4	1.1	1.2	73.34			17.127	13.478	7.552		0.238	3.6	0.465	0.415	0.58	0.271	1.3	1.4	1.1	0
9	4	7	0.9	1	0.9	0.9	32.542			10.222	7.191	5.07			2.6	0.468	0.459	0.436	0.081	1	0.9	1.1	0
