Snr	strata	age	plot	rn	dw.g	area.cm	sla	area.n	dw.n	yr	ag	bg	pch
1	1	1	0	2	47	0.3	16.8193212	56.064404	0.35785789787234	0.00638297872340425	18	0	1	24
2	1	1	1	2	43	0.45	21.999956	48.8887911111111	0.51162688372093	0.0104651162790698	18	1	1	24
3	1	1	2	2	45	0.38	18.7483496	49.3377621052632	0.416629991111111	0.00844444444444445	18	2	1	24
4	1	1	0	2	51	0.29	15.8580328	54.6828717241379	0.310941819607843	0.00568627450980392	18	0	1	24
5	1	1	1	2	65	0.47	25.7289808	54.7425123404255	0.395830473846154	0.00723076923076923	18	1	1	24
6	1	2	0	2	59	0.53	24.5870476	46.3906558490566	0.416729620338983	0.00898305084745763	18	0	1	24
7	1	2	1	2	48	0.42	19.322542	46.0060523809524	0.402552958333333	0.00875	18	1	1	24
8	1	2	2	2	56	0.48	23.7031784	49.3816216666667	0.423271042857143	0.00857142857142857	18	2	1	24
9	1	2	0	2	58	0.4	20.3096368	50.774092	0.350166151724138	0.00689655172413793	18	0	1	24
10	1	2	1	2	66	0.61	28.7160716	47.0755272131147	0.435091993939394	0.00924242424242424	18	1	1	24
11	1	2	2	2	44	0.41	18.7354464	45.6962107317073	0.4258056	0.00931818181818182	18	2	1	24
12	1	3	0	2	55	0.54	25.6967228	47.5865237037037	0.467213141818182	0.00981818181818182	18	0	1	24
13	1	3	1	2	49	0.52	23.0580184	44.3423430769231	0.470571804081633	0.0106122448979592	18	1	1	24
14	1	3	2	2	48	0.7	29.4386508	42.0552154285714	0.613305225	0.0145833333333333	18	2	1	24
15	1	3	0	2	49	0.46	21.8257628	47.4473104347826	0.445423730612245	0.00938775510204082	18	0	1	24
16	1	3	1	2	61	0.46	21.3096348	46.3252930434782	0.349338275409836	0.00754098360655738	18	1	1	24
17	1	3	2	2	46	0.42	19.8838312	47.3424552380952	0.4322572	0.0091304347826087	18	2	1	24
